Margherita Pizza,12.99,Main Course
Pepperoni Pizza,13.99,Main Course
Caesar Salad,9.5,Starter
Tomato Soup,5.99,Starter
Garlic Bread,3.5,Starter
Beef Burger,10.99,Main Course
Chicken Burger,9.99,Main Course
Veggie Burger,8.99,Main Course
Spaghetti Bolognese,11.5,Main Course
Penne Arrabbiata,10.0,Main Course
Mushroom Risotto,12.0,Main Course
Grilled Chicken,13.5,Main Course
Steak,15.99,Main Course
Grilled Salmon,14.99,Main Course
Fish and Chips,12.5,Main Course
Greek Salad,8.5,Starter
Bruschetta,4.99,Starter
Nachos,6.99,Starter
Cheesecake,6.5,Dessert
Chocolate Brownie,5.5,Dessert
Apple Pie,5.0,Dessert
Ice Cream Sundae,4.99,Dessert
Tiramisu,6.0,Dessert
Cappuccino,3.5,Beverage
Latte,3.5,Beverage
Espresso,2.99,Beverage
Tea,2.5,Beverage
Orange Juice,3.0,Beverage
Soda,2.5,Beverage
Water,1.99,Beverage
